Date,Class,Transaction Category,Debit,Credit
06/01/2026,2006,Subject to Tax,,131.7
06/01/2026,2006,Non-Taxable Sales,,3282.32
06/01/2026,2006,3rd Party Tax Exempt,,26.28
06/01/2026,2006,Register Audit,127,
06/01/2026,2006,Sales Tax,,9.56
06/01/2026,2006,In-Store Credit Card,1688.01,
06/01/2026,2006,Online Credit card,1289.3,
06/01/2026,2006,Online Gift Card,11.7,
06/01/2026,2006,Online Credit Card Tips,,77.78
06/01/2026,2006,In-Store Credit Card Tips,,98.63
06/01/2026,2006,Online Gift Card Tips,,1
06/01/2026,2006,Gift Card,68.22,
06/01/2026,2006,3rd Party - DoorDash,319.5,
06/01/2026,2006,3rd Party - UberEats,124,
06/01/2026,2006,Cash Over/Short Adjustment,,0.46
06/01/2026,2016,Subject to Tax,,112.67
06/01/2026,2016,Non-Taxable Sales,,3541.73
06/01/2026,2016,3rd Party Tax Exempt,,3.72
06/01/2026,2016,Register Audit,499,
06/01/2026,2016,Sales Tax,,7.38
06/01/2026,2016,In-Store Credit Card,1887.32,
06/01/2026,2016,Online Credit card,956.14,
06/01/2026,2016,Online Gift Card,58.35,
06/01/2026,2016,Online Credit Card Tips,,27
06/01/2026,2016,In-Store Credit Card Tips,,88.1
06/01/2026,2016,Gift Card,19.94,
06/01/2026,2016,Gift Card Sold,,20
06/01/2026,2016,3rd Party - DoorDash,133.08,
06/01/2026,2016,3rd Party - UberEats,246.59,
06/01/2026,2016,Cash Over/Short Adjustment,0.18,
06/01/2026,2017,Subject to Tax,,149.7
06/01/2026,2017,Non-Taxable Sales,,3364.54
06/01/2026,2017,3rd Party Tax Exempt,,26.28
06/01/2026,2017,Register Audit,180,
06/01/2026,2017,Sales Tax,,10.41
06/01/2026,2017,In-Store Credit Card,1955.15,
06/01/2026,2017,Payout,44.19,
06/01/2026,2017,Online Credit card,943.72,
06/01/2026,2017,Online Credit Card Tips,,37.55
06/01/2026,2017,In-Store Credit Card Tips,,130.48
06/01/2026,2017,Gift Card,37.8,
06/01/2026,2017,Gift Card Sold,,25
06/01/2026,2017,3rd Party - DoorDash,445.26,
06/01/2026,2017,3rd Party - GrubHub,12.54,
