DateRange,Class,NetSales,Transaction Category,Account Number,Account Name,Debit,Credit,Memo,IsBalanced,Export Status
06/29/2026 - 07/14/2026,2006,56935.16,Royalty Fee,651000,Royalties,3700.79,0.00,TQSR - Royalty Fee,0,
06/29/2026 - 07/14/2026,2006,56935.16,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,3700.79,TQSR - Royalties Bank Acct Entry,0,
06/29/2026 - 07/14/2026,2006,56935.16,National Media Fee,560000,Advertising-National,2277.41,0.00,TQSR - National Media Fee,0,
06/29/2026 - 07/14/2026,2006,56935.16,National Media Bank Entry,217000,Accrued Royalties,0.00,2277.41,TQSR - National Media Bank Entry,0,
06/29/2026 - 07/14/2026,2006,56935.16,Corporate Advertising Fee,560001,Advertising-Production Fund,569.35,0.00,TQSR - Corporate Advertising Fee,0,
06/29/2026 - 07/14/2026,2006,56935.16,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,569.35,TQSR - Corp Advertising Bank Acct Entry,0,
06/29/2026 - 07/14/2026,2016,67333.18,Royalty Fee,651000,Royalties,4376.66,0.00,TQSR - Royalty Fee,0,
06/29/2026 - 07/14/2026,2016,67333.18,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4376.66,TQSR - Royalties Bank Acct Entry,0,
06/29/2026 - 07/14/2026,2016,67333.18,National Media Fee,560000,Advertising-National,2693.33,0.00,TQSR - National Media Fee,0,
06/29/2026 - 07/14/2026,2016,67333.18,National Media Bank Entry,217000,Accrued Royalties,0.00,2693.33,TQSR - National Media Bank Entry,0,
06/29/2026 - 07/14/2026,2016,67333.18,Corporate Advertising Fee,560001,Advertising-Production Fund,673.33,0.00,TQSR - Corporate Advertising Fee,0,
06/29/2026 - 07/14/2026,2016,67333.18,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,673.33,TQSR - Corp Advertising Bank Acct Entry,0,
06/29/2026 - 07/14/2026,2017,59662.16,Royalty Fee,651000,Royalties,3878.04,0.00,TQSR - Royalty Fee,0,
06/29/2026 - 07/14/2026,2017,59662.16,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,3878.04,TQSR - Royalties Bank Acct Entry,0,
06/29/2026 - 07/14/2026,2017,59662.16,National Media Fee,560000,Advertising-National,2386.49,0.00,TQSR - National Media Fee,0,
06/29/2026 - 07/14/2026,2017,59662.16,National Media Bank Entry,217000,Accrued Royalties,0.00,2386.49,TQSR - National Media Bank Entry,0,
06/29/2026 - 07/14/2026,2017,59662.16,Corporate Advertising Fee,560001,Advertising-Production Fund,596.62,0.00,TQSR - Corporate Advertising Fee,0,
06/29/2026 - 07/14/2026,2017,59662.16,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,596.62,TQSR - Corp Advertising Bank Acct Entry,0,
06/29/2026 - 07/14/2026,2020,66210.80,Royalty Fee,651000,Royalties,4303.70,0.00,TQSR - Royalty Fee,0,
06/29/2026 - 07/14/2026,2020,66210.80,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4303.70,TQSR - Royalties Bank Acct Entry,0,
06/29/2026 - 07/14/2026,2020,66210.80,National Media Fee,560000,Advertising-National,2648.43,0.00,TQSR - National Media Fee,0,
06/29/2026 - 07/14/2026,2020,66210.80,National Media Bank Entry,217000,Accrued Royalties,0.00,2648.43,TQSR - National Media Bank Entry,0,
06/29/2026 - 07/14/2026,2020,66210.80,Corporate Advertising Fee,560001,Advertising-Production Fund,662.11,0.00,TQSR - Corporate Advertising Fee,0,
06/29/2026 - 07/14/2026,2020,66210.80,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,662.11,TQSR - Corp Advertising Bank Acct Entry,0,
06/29/2026 - 07/14/2026,2023,68598.19,Royalty Fee,651000,Royalties,4458.88,0.00,TQSR - Royalty Fee,0,
06/29/2026 - 07/14/2026,2023,68598.19,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,4458.88,TQSR - Royalties Bank Acct Entry,0,
06/29/2026 - 07/14/2026,2023,68598.19,National Media Fee,560000,Advertising-National,2743.93,0.00,TQSR - National Media Fee,0,
06/29/2026 - 07/14/2026,2023,68598.19,National Media Bank Entry,217000,Accrued Royalties,0.00,2743.93,TQSR - National Media Bank Entry,0,
06/29/2026 - 07/14/2026,2023,68598.19,Corporate Advertising Fee,560001,Advertising-Production Fund,685.98,0.00,TQSR - Corporate Advertising Fee,0,
06/29/2026 - 07/14/2026,2023,68598.19,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,685.98,TQSR - Corp Advertising Bank Acct Entry,0,
06/29/2026 - 07/14/2026,2024,55392.41,Royalty Fee,651000,Royalties,3600.51,0.00,TQSR - Royalty Fee,0,
