"Date","Store","Status","Error","Source"
"07/01/2026","13026","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","13062","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","13082","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","13106","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","13116","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","13138","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","13148","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","13160","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","13162","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","13219","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","2006","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","2016","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","2017","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","2020","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","2023","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","2024","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","2047","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","37001","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","37002","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","37004","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","37006","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","37007","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","37009","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","37010","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","37013","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","37014","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","37016","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","37020","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4003","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4004","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4005","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4008","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4009","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4010","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4015","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4021","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4025","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4027","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4034","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4036","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4042","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4052","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4061","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","4074","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","49001","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","49002","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","49003","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","49004","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","49005","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","49006","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","49007","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","49008","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","49009","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","49010","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","49011","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","5042","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","5043","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","5049","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","5051","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","5057","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
"07/01/2026","5059","skipped","","flexepos/runs/2026-06-29_2026-07-13/century/financial"
