Date,Store,Status,Error,Source
06/29/2026,2006,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,2016,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,2017,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,2020,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,2023,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,2024,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,2047,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4003,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4004,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4005,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4008,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4009,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4010,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4015,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4021,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4025,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4027,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4034,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4036,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4042,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4052,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4061,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,4074,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,5042,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
06/29/2026,5043,skipped,,runs\2026-07-21\financial_batches\2026-06-29_2026-07-04\century\financial
