Store,Start,End,Status,Error
2006,2026-08-03,2026-08-04,skipped,
2016,2026-08-03,2026-08-04,skipped,
2017,2026-08-03,2026-08-04,skipped,
2020,2026-08-03,2026-08-04,skipped,
2023,2026-08-03,2026-08-04,skipped,
2024,2026-08-03,2026-08-04,skipped,
2047,2026-08-03,2026-08-04,skipped,
4003,2026-08-03,2026-08-04,skipped,
4004,2026-08-03,2026-08-04,skipped,
4005,2026-08-03,2026-08-04,skipped,
4008,2026-08-03,2026-08-04,skipped,
4009,2026-08-03,2026-08-04,skipped,
4010,2026-08-03,2026-08-04,skipped,
4015,2026-08-03,2026-08-04,skipped,
4021,2026-08-03,2026-08-04,skipped,
4025,2026-08-03,2026-08-04,skipped,
4027,2026-08-03,2026-08-04,skipped,
4034,2026-08-03,2026-08-04,skipped,
4036,2026-08-03,2026-08-04,skipped,
4042,2026-08-03,2026-08-04,skipped,
4052,2026-08-03,2026-08-04,skipped,
4061,2026-08-03,2026-08-04,skipped,
4074,2026-08-03,2026-08-04,skipped,
5042,2026-08-03,2026-08-04,skipped,
5043,2026-08-03,2026-08-04,skipped,
5049,2026-08-03,2026-08-04,skipped,
5051,2026-08-03,2026-08-04,skipped,
5057,2026-08-03,2026-08-04,skipped,
5059,2026-08-03,2026-08-04,skipped,
5062,2026-08-03,2026-08-04,skipped,
5101,2026-08-03,2026-08-04,skipped,
5112,2026-08-03,2026-08-04,skipped,
5127,2026-08-03,2026-08-04,skipped,
6021,2026-08-03,2026-08-04,skipped,
6026,2026-08-03,2026-08-04,skipped,
6032,2026-08-03,2026-08-04,skipped,
6037,2026-08-03,2026-08-04,skipped,
6039,2026-08-03,2026-08-04,skipped,
6044,2026-08-03,2026-08-04,skipped,
6065,2026-08-03,2026-08-04,skipped,
6067,2026-08-03,2026-08-04,skipped,
6072,2026-08-03,2026-08-04,skipped,
6074,2026-08-03,2026-08-04,skipped,
6076,2026-08-03,2026-08-04,skipped,
6083,2026-08-03,2026-08-04,skipped,
6088,2026-08-03,2026-08-04,skipped,
6093,2026-08-03,2026-08-04,skipped,
6094,2026-08-03,2026-08-04,skipped,
6102,2026-08-03,2026-08-04,skipped,
7024,2026-08-03,2026-08-04,skipped,
7032,2026-08-03,2026-08-04,skipped,
7039,2026-08-03,2026-08-04,skipped,
7049,2026-08-03,2026-08-04,skipped,
7066,2026-08-03,2026-08-04,skipped,
13026,2026-08-03,2026-08-04,skipped,
13062,2026-08-03,2026-08-04,skipped,
13082,2026-08-03,2026-08-04,skipped,
13106,2026-08-03,2026-08-04,skipped,
13116,2026-08-03,2026-08-04,skipped,
13138,2026-08-03,2026-08-04,skipped,
13148,2026-08-03,2026-08-04,skipped,
13160,2026-08-03,2026-08-04,skipped,
13162,2026-08-03,2026-08-04,skipped,
13219,2026-08-03,2026-08-04,skipped,
37001,2026-08-03,2026-08-04,skipped,
37002,2026-08-03,2026-08-04,skipped,
37004,2026-08-03,2026-08-04,skipped,
37006,2026-08-03,2026-08-04,skipped,
37007,2026-08-03,2026-08-04,success,
37009,2026-08-03,2026-08-04,skipped,
37010,2026-08-03,2026-08-04,skipped,
37013,2026-08-03,2026-08-04,skipped,
37014,2026-08-03,2026-08-04,skipped,
37016,2026-08-03,2026-08-04,skipped,
37020,2026-08-03,2026-08-04,skipped,
49001,2026-08-03,2026-08-04,skipped,
49002,2026-08-03,2026-08-04,skipped,
49003,2026-08-03,2026-08-04,skipped,
49004,2026-08-03,2026-08-04,skipped,
49005,2026-08-03,2026-08-04,skipped,
49006,2026-08-03,2026-08-04,skipped,
49007,2026-08-03,2026-08-04,skipped,
49008,2026-08-03,2026-08-04,skipped,
49009,2026-08-03,2026-08-04,skipped,
49010,2026-08-03,2026-08-04,skipped,
49011,2026-08-03,2026-08-04,skipped,
