DateRange,Class,NetSales,Transaction Category,Account Number,Account Name,Debit,Credit,Memo,IsBalanced,Export Status
08/03/2026 - 08/05/2026,2006,11031.65,Royalty Fee,651000,Royalties,717.06,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/05/2026,2006,11031.65,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,717.06,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/05/2026,2006,11031.65,National Media Fee,560000,Advertising-National,441.27,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/05/2026,2006,11031.65,National Media Bank Entry,217000,Accrued Royalties,0.00,441.27,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/05/2026,2006,11031.65,Corporate Advertising Fee,560001,Advertising-Production Fund,110.32,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/05/2026,2006,11031.65,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,110.32,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/05/2026,2016,10712.79,Royalty Fee,651000,Royalties,696.33,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/05/2026,2016,10712.79,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,696.33,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/05/2026,2016,10712.79,National Media Fee,560000,Advertising-National,428.51,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/05/2026,2016,10712.79,National Media Bank Entry,217000,Accrued Royalties,0.00,428.51,TQSR - National Media Bank Entry,0,
08/03/2026 - 08/05/2026,2016,10712.79,Corporate Advertising Fee,560001,Advertising-Production Fund,107.13,0.00,TQSR - Corporate Advertising Fee,0,
08/03/2026 - 08/05/2026,2016,10712.79,Corp Advertising Bank Acct Entry,217000,Accrued Royalties,0.00,107.13,TQSR - Corp Advertising Bank Acct Entry,0,
08/03/2026 - 08/05/2026,2017,10049.71,Royalty Fee,651000,Royalties,653.23,0.00,TQSR - Royalty Fee,0,
08/03/2026 - 08/05/2026,2017,10049.71,Royalties Bank Acct Entry,217000,Accrued Royalties,0.00,653.23,TQSR - Royalties Bank Acct Entry,0,
08/03/2026 - 08/05/2026,2017,10049.71,National Media Fee,560000,Advertising-National,401.99,0.00,TQSR - National Media Fee,0,
08/03/2026 - 08/05/2026,2017,10049.71,National Media Bank Entry,217000,Accrued Royalties,0.00,401.99,TQSR - National Media Bank Entry,0,
